position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,All officers must take the confirmation examination within...........years from the date of assuming duty.,One (1) year,four (4) years,Two (2) years,Three (3) years.,,,,medium
2,"Where Gazette of 1st Appointment and Confirmation of Appointment are not ready within .........years, COMPRO examination result should be used in their place.",One (1) year,two (2) years,four (4) years,Three (3) years.,B,,,medium
3,The emolument of newly employed officers shall be paid as from the date of assumption of duty and they shall be placed on IPPIS platform within .......months of assumption of duty.,Four months,Two months,Three months,Twelve months.,B,,,medium
4,"If an Officer is promoted to a grade level that does not overlap his previous grade level, he will be placed at the......of his new salary grade level.",Minimum point,Maximum point,Mid-Point,Greater point,A,,,medium
5,Payment of promotion arrears would be made within the .......promotion is effected.,Month,Week,Day,Year.,D,,,medium
6,An Officer on an incremental grade level would normally be granted an increment except if he is on:,Interdiction/ suspension.,acquittal list in respect of a disciplinary action against him.,his MDA's reward and regonition list.,On account of satisfactory performance.,A,,,medium
7,The Annual Performance Evaluation Report (APER) was replaced with.....................,Balanced Score Card (BSC).,Management by Objectives (MBO),Future-focused Employee Performance System (FEPS),Performance Management System (PMS),D,,,medium
8,The Performance Management System (PMS) focuses on ..............,employees' measurable output and certain competencies required to deliver job tasks and meet agreed targets.,making incongruent the organizational goals and individual employee objectives,"coercing the immediate supervisor, peers, reporting officer and countersigning officer involved in the employee appraisal circle.",encouraging a retribution in the perfomance appraisal results.,A,,,medium
9,A Reporting Officer in respect of the Performance Management System must be:,At least a substantive Director on Grade Level 17.,At most a senior officer of commendable attribues.,An immediate Supervisor and at least one substantive grade level above the Appraisee Officer.,At most an officer of a Directorate cadre in the Human Resources Management Department where the Officer being reported on works.,C,,,medium
10,An Officer on secondment must be appraised by:,the Office that the officer is seconded to.,the releasing MDA that the Officer originally belongs.,the Head of the Civil Service of the Federation.,the Career Management Office (CMO).,A,,,medium
11,Perfomance Management Cycle will run ...............,from April to March of every year.,from July to June of every year.,from October to September of every year.,from January to December of every year.,D,,,medium
12,Key Performance Indicators (KPIs) should be drawn and agreed upon by .......... and final appraisal should be done by.............,"March of each year, September of the same year.","April of each year, October of the same year.","January of each year, December of the same year.","May of each year, November of the same year.",C,,,medium
13,"In a situation where an Appraisee's performance falls below expectations (under-performance), .............will be adopted.",Performance Management Plan (PMP),Performance Integrated Plan (PIP),Performance Monitoring Plan (PMP),Performance Improvement Plan (PIP).,D,,,medium
14,Appraisal of officers must be conducted.............,in strict confidence.,in an open manner.,on a round-table setting.,in the presence of senior Directors.,A,,,medium
15,An Officer who is authorized to attend a course of instruction outside Nigeria must sign a Bond to refund to Government all expenses for non-compliance with the following except:,obtain a certificate of satisfactory attendance at the course.,return to Nigeria.,remain in Service within a period of three years of his completing such a course.,undertake any other course of instruction without the specific approval of the Government.,D,,,medium
16,A senior Officer sent overseas on a course of instruction for than .......months will be eligible for free air passage for himself and his spouse.,Twelve (12),Ten (10),Nine (9),Six (6),C,,,medium
17,Officers may be granted study leave with pay subject to a maximum of ......years including a period of approved extension.,Two (2),Three (3),Six (6),Four (4),B,,,medium
18,"For a journey by air, ............. is for Permanent Secretaries, Ministers and above, while .......... is for officers on GL 7-17","First Class, Business Class","Second Class, Servant Class","Business Class, Economy Class","Economy Class, First Class.",C,,,medium
19,The Public Service Rules are applicable to which Officers?,Civil Servants only.,Judicial Officers of Courts of Record.,Police Service Commission officers and the Officers of the Nigerian Army.,All officers in the Public Service except where the rules conflict with specific terms approved by the Federal Government and written into the contract of employement or letters of appointment.,D,,,medium
20,The following organs of Government of the Federation derive their appointments from the Constitution of the Federal Republic of Nigeria except:,"The Nigerian President, Vice-President, President of the Senate and Members, Speaker of the House of Representatives and Members, Secretary to the Government of the Federation and other Members of the Federal Executive Council","Chief Justice of Nigeria, Justices of the Supreme Court, President and Justices of the COurt of Appeal, Chief Judge and Judges of the High Court of the High Court of the Federal Capital Territory (FCT), Grand Khadis and Kahdis of the Sharia Court of Appeal of the FCT, President and Judges of the Customary Court of Appeal of the FCT.","All State Governors, Special Advicers to the State Government, Permanent Secretaries of Treasury Funded Local Governments Chairmen and their appointees.","The Chairmen and Members of the following bodies: Auditor-General for the Federation, Code of Conduct Bureau; Code of Conduct Tribunal, FCSC, FCC, INEC, NPC, PSC and RMAFC",C,,,medium
21,The Accredited Representative of the Federal Republic of Nigeria is:,Governor of Federal Capital Territory.,Diplomatic or Consular Representative of the Federal Republic of Nigeria.,Accountant General of the Federation.,Special Adviser to the President on Foreign Affairs.,B,,,medium
22,Civil Service of the Federation is a,Parastatals of the Government of the Federation.,All staff of the Nigerian National Petroleum Corporation (NNPC) Plc.,Body or Organ which enjoys continuity of existence.,"All the Personal Assistants to the Accounting Officers of the Ministries, Departments and Agencies (MDAs).",C,,,medium
23,Classified Correspondence is a correspondence which has been graded:,Open and Competitive,Formal and informal,Interactive and engaging,"Restricted, Confidential, Secret or Top Secret.",D,,,medium
24,The Appointment of junior staff on grade level 06 and below is handled by:,Head of the Civil Service of the Federation only.,Accountant General of the Federation in conjunction with the IPPIS Office.,Junior Staff Committee as approved by the Accounting Officer of a Ministry/Extra-Ministerial Office.,Secretary to the Government of the Federation.,C,,,medium
25,An appointment of officers of grade level 07-17 is handled by,Federal Civil Service Commission.,Accountant General of the Federation in conjunction with the IPPIS Office.,Special Adviser to the President of the Federal Republic of Nigeria on labour and productivity.,Secretary to the Government of the Federation.,A,,,medium
26,The submission of applications for the appointment of officers of grade level 07-17 is within:,four weeks,Three months,Six weeks,Twenty-one working days,C,,,medium
27,An annual competitive Public/Civil Service Entry Examination for is held for new entrants and tranferring serving officers on Grade Level:,Grade level 01-06,Grade Level 15-17,Grade Level 12-14,Grade Level 07-10,D,,,medium
28,Candidates with required qualifications who are to be appointed into the State/ Zonal Offices of a Ministry/ Extra-Ministerial Office must be:,Candidates who studied in any Higher Institution in those States/ Zones,Residents of those States/ Zones,Candidates who did their NYSC Service in those States/ Zones.,Residents of the Federal Capital Territory (FCT).,B,,,medium
29,"The incremental date of an Officer appointed, or promoted to a post in the Federal Public Service is ...............on the condition that such Officer has spent at least ...........on the Grade with good performance before enjoying the increment.","31st December of every year, twelve (12) months","1st June of every year, five (5) months","31st March of every year, three (3) months","1st January of every year, six (6) months",D,,,medium
30,Seniority in the Public Service is based on the .................. certified by an authorized Officer and or ..................as reflected in the appropriate register and career progression of the concerned Officers.,"Exit date from the previous employment , date of last promotion examination","Approved leave date from the initial engagement, date of last entry examination","Date on the last pay certificate, date of previous employment pay slip.","Entry date/the date of assumption of duty, date of present appointment.",D,,,medium
31,The employment of unpaid staff into the public service is..........,prohibited,allowed,discretional,Circumstantial.,A,,,medium
32,"A Staff Record Form is also called .............., a copy of which must be sent to the National Record Centre in the Office of the Head of the Civil Service of the Federation, Accountant General's Office, Auditor General's Office and PenCom within............. of the appointment","Form Gen (60), One (1) Month",Letter of Administration (LoA) Seven (7) days,Last Pay Certiifcate (LPC) Twelve (12) Months,Staff Pay Slip (SPL) Six (6) weeks.,A,,,medium
33,Any change of date of birth in the record of service or other personnel records upon employment into the Public Service is regarded as..............,Unintentional error.,A mere mistake.,An act of serious misconduct.,An act of proper use of affidavit of change of birth date.,C,,,medium
34,...............means the filling of vacancies by direct appointment of persons not already in any of the Public Service of the Federal Republic of Nigeria.,Volunteering,Promotion,Recruitment,Condonation,C,,,medium
35,"A person with requisite qualification can be employed into the public service as a trainee or pupil, on probation in a pensionable post, on non-pensionable contract, acting appointment and .................",Regular appointment,Appointment based on recommendation from a High Chief or Political Head.,Casual appointment,Special appointment.,D,,,medium
36,The Federal Civil Service Commission (FCSC)'s employment of.......................is automatic irrespective of vacancy constraints:,Confidential Driver to the President of the Federal Republic of Nigeria.,Orderly to the Honourable Minister of the Federal Capital Territory (FCT).,National Youth Service Corps. (NYSC) Presidential Merit Award Winners.,Chief Chef to the First Lady of the Federal Republic of Nigeria.,C,,,medium
37,.....................of all recruitments in the Service are to be reserved for .....................,12% Confidential Driver to the President of the Federal Republic of Nigeria.,20% Orderly to the Honourable Minister of the Federal Capital Territory (FCT).,10% Chief Chef to the First Lady of the Federal Republic of Nigeria.,5% persons with disability.,D,,,medium
38,Eligibility for appointing every applicant into the Federal Public Service are (i) Between the age of 18 and 50 years; (ii) Having minimum qualification as contained in the scheme of service; (iii)Having being certified by an authorized Healthcare Provider as medically fit; (iv) Having a testimonial of good conduct from the last employer or school attended; (v) Having requisite qualification as contained in the scheme of service; and,no officer shall be appointed into the Federal Public Service without authorized establishment and recruitment waiver from the Office of the Head of the Civil Service of the Federation.,any officer seeking for an appointment into the Federal Public Service must seek clearance from the National Pension Commission.,no officer should seek Federal Government's appointment without Police extract.,every officer must possess a bank guarantee to confirm his/her loan and debt status.,A,,,medium
39,No candidate would be considered for an appointment into the Federal Public Service for the following reasons except:,he has been convicted of a criminal offence.,he has been dismissed or called upon to resign or retire from the Public Service before.,he has left his previous employment without reasons and whether he is free from financial embarrassment.,he is into agricultural value chain.,D,,,medium
40,"When a newly appointed Officer assumes duty, he must enter his personal particulars on..........",Staff Hospital Form,Form Gen. 60,Staff salary form,Form TFL 10,B,,,medium
41,"In spite of the Freedom of Information Act, a newly employed Officer must sign..........",Financial Information Form,Property declaration form,Oath of Secrecy on Security (Form 1),Salary negotiation form 20.,C,,,medium
42,Which of the membership of the following association can be regarded as an act of serious misconduct in the Public Service.,"Association of Ram Seller, FCT Chapter.","Society for Gulf-Players, Nasarawa Branch",Digital Society of Nigeria.,Membership of a Secret Society.,D,,,medium
43,Membership of Junior Staff Committee (JSC) and Senior Staff Committee (SSC) in Parastatals includes which of the following:,Representative of Department of Human Resources Management of the supervising Ministry and An observer from the Office of the Head of the Civil Service of the Federation (OHCSF).,"Representative of the Ministry of Labour, Productivity and Employment.",Representative of the National Directorate of employment (NDE).,Representative of the National Productivity Centre (NPC).,A,,,medium
44,"Kinds of short-term appointment in the Public Service include contract appointment, sabbatical appointment, career exchange programme, talent sourcing strategy, intership and",Permanent Secretary appointment,Senior Administrative appointment,Judicial appointment,Volunteerism.,D,,,medium
45,Conditions for the contract appointment include the following except.,The Public Service no longer has officers with specific skills as provided in thhe scheme of service.,The contract appointment must be tied to funded projects/programmes with specific life span.,The contract appointment can be offered to expatriates when suitable Nigerians are not available and to Nigerians who either pensioners or over 50 years of age.,The contract appointment is pensionable.,D,,,medium
46,"Spouses married to Nigerians would remain on contract appointment, and not considered for permanent appointments until:",separated from their Nigerian partners.,divorced,granted Nigerian citizenship,renounced Nigerian citizenship,C,,,medium
47,The contract appointment should not be below which salary grade level (SGL)?,SGL 06,SGL 12,SGL 08,SGL 10,B,,,medium
48,The Contract appointment duration should be ........ or.........and renewable but not more than ........ years in total.,"two (2) or three (3) years, six (6)","six (6) months or nine (9) months, two (2)","one (1) or two (2) years, four (4)","three (3) or four (4) years, ten (10)",C,,,medium
49,A contract officer must.............,accept posting or transfer to any part of the country.,refuse posting or transfer to any part of the country.,write petition to the Federal Civil Service Commission for posting or transfer outside the officer's Head office.,demand for double salary for any posting or transfer to any part of the country.,A,,,medium
50,A contract officer should be subjected to.............,any valid relief from any performance evaluation.,performance appraisal through confidential report as applicable in the Public Service.,punishment for mentoring serving officers.,scrutiny for non-deduction of pension element from his salary.,B,,,medium
51,A contract officer must sign...........,double remuneration agreement form.,"A day-on, a day-off leave notice.",the oath of secrecy.,"No-daily-pay, no-work declaration form.",C,,,medium
52,"A retired officer from the Public Service who is re-engaged into a career post, his appointment must be on a salary grade level immediately ........that on which he retired and be eligible to maintain his .......step at retirement.","below, last","above, first",same middle,higher first,A,,,medium
53,An Officer serving on contract who wants to be re-engaged must formally write through the Accounting Officer at least ............ before his leave is due.,twelve (12) months,Six (6) months.,four (4) months.,One (1) month,C,,,medium
54,..............Appointment is applicable to an Officer on a salary grade level (SGL)............. for a period of 12 calendar months.,"Temporary, SGL 08-10","Special, SGL 10-12","Acting, SGL 13-14",Sabbatical SGL 15 and above,D,,,medium
55,An internship is for a period of .........months on part-time while it is for a period of......months on full-time.,"1 to 2 months, 10 months","3 to 6 months, 12 months","7 to 8 months, 15 months","6 to 9 months, 24 months",B,,,medium
56,............ is the permanent release of an Officer from one scheduled service to another or from one class to another within the same Service.,Transfer,Secondment,Inter-Ministerial/ Agency posting,Condonation,A,,,medium
57,"............is the temporary release of an Officer to the service of another Government, approved body or any recognised International Organization or body for a specific period.",Transfer,Secondment,Inter-Ministerial/ Agency posting,Condonation.,B,,,medium
58,An Officer on transfer from State to Federal Service would be placed on a grade level ........than his current grade level.,lower,immediately above,same,higher,A,,,medium
59,Secondment is for a maximum period of ....... years in the first instance after which the Officer may apply for extension or return to his former post but the total period of such secondment must not exceed ........years,"One (1) year, three (3) years.","Two (2) years, four (4) years.","Three (3) years, Six (6) years.","Four (4) years, Eight (8) years.",B,,,medium
60,A secondment in the public interest must not exceed ........years.,One (1) year,Three (3) years,Five (5) years,Six (6) years.,D,,,medium
61,An Officer on .................... receives salary from the MDA with the higher pay when there is a differential in payments between the releasing and receiving MDAs.,Transfer,Secondment in Public Interest,Inter-Ministerial/ Agency posting,Condonation.,B,,,medium
62,A transfer of an Officer from one scheduled service to another is subject to ........................,Availability of funds to pay his salary and other allowances.,Availability of vacancies in the relevant grade and the applicant's discipline or area of specialty.,Availability of other professionals within the Officer's cadre.,Availability of adequate training programmes for the Officer's upskilling.,B,,,medium
63,No Ministry/MDA is authorized to transfer or second any senior officer to any Parastatal under its supervision or accept any Officer seconded to it without the endorsement of...........,Staff Mobility Department of the Office of the Head of the Civil Service of the Federation (OHCSF),Office of the Secretary to the Government of the Federation.,Federal Civil Service Commission/ Board.,Career Management Office (CMO).,C,,,medium
64,Posting of Officers to posts outside their Professional Cadres is .............,prohibited,allowed,discretional,Circumstantial.,A,,,medium
65,Posting of pool Officers in the Service becomes mandatory after every .............years.,Five (5) years,Three (3) years,Four (4) years,Six (6) years.,C,,,medium
66,Any Officer that fails to proceed on posting would be regarded as a ...............,Commendation,Complicity c Connivance,,Misconduct,D,,,medium
67,A period of Acting appointment must not exceed ........... but in exceptional circumstances may be extended to another .............,"Five (5) years, two (2) years","One (1) year, one (1) year","Four (4) years, three (3) years",Six (6) years. Four (4) years,B,,,medium
68,All Officers who fall within the field of selection for any promotion exercise would be considered except...............,those wish to remain in their current grade level for any fear of being posted out of the present office.,those have been advised by their clergymen to remain satisfied with the current position.,those who are under disciplinary action.,those who feel disatisfied with the recent currency devaluation.,C,,,medium
69,"The minimum of number of years for the eligibility of officers on GL 06 and below, GL 07-14 and GL 15-17 are ............, .............. and ................respectively.","Minimum of 3 years, 4 years and 5 years.","Minimum of 1 year, 2 years and 3 years.","Minimum of 4 years, 5 years and 6 years.","Minimum of 2 years, 3 years and 4 years.",D,,,medium
70,Which MDAs are responsible for promotion of officers on GL 06 and below; GL 07 to 14 and GL 15-17?,"Ministry, Department and Agency (MDA) via Junior Staff COmmittee, MDA or relevant staff pool with the approval of OHCSF subject to confirmation by FCSC, FCSC on recommendation from MDA or the relevant pool routed through OHCSF.","Presidency, Ministry of Labour and Productivity, Auditor General for the Federation.","Accountant General of the Federation, Staff Mobility Department of the Federal Civil Service Commission, Employee Promotion Department of the Head of Civil Service of the Federation.","National Productivity Centre (NPC), MDA in conjunction with the National Directorate of Employment, Presidential Initiative on Federal Government employees' performance Appraisal Policty.",A,,,medium
71,The effective date of all promotions in the Public Service is.............,31st December of every year.,1st June of every year.,31st March of every year.,1st January of every year.,D,,,medium
72,The eligibility criteria for the post of permanent secretaries entails the following except:,being a Federal Civil Service Director on GL 17 for at least two years and on IPPIS.,Not retiring on or before the 31st of December of the following year.,Having a proof of indigenship of the State where vacancy exists but the indigenship must not be by marriage in case of a female Civil Servant.,Having pending disciplinary action but already seeking presidential intervention.,D,,,medium
73,The examination process for the post of permanent secretaries involve:,Written examination,Test of ICT proficiency,Driving Competency test.,Oral interview,C,,,medium
74,Officers who fail promotion examinations after ............consecutive attempts or who absent themselves from an examination without reasons acceptable to the FCSC would be deemed to have exited from the Service.,Two (2),Three (3),Four (4),Five (5).,B,,,medium
75,An officer whose service is no longer required would be required to leave the Service due to the following reasons except:,Abolition of office,Re-organization of the office,Redundancy,Leave of absence.,D,,,medium
76,A Grade Level 17 Director in the Public Service who already spent ............years on the post must compulsorily retire from the Service.,Six (6),Eight (8),Ten (10),Five (5).,B,,,medium
77,"A Permanent Secretary should hold office for a term of ........years and renewable for a further term of ........years, subject to satisfactory performance.","Three (3) years, three (3) years.","Five (5) years, five (5) years.","Six (6) years, Six (6) years.","Four (4) years, Four (4) years.",D,,,medium
78,Officers who exit the Service would be paid his retirement benefits and would access his National Housing Funds (NHF) contributions within .......of retirement.,Six months,One month,Three months,Twelve months.,B,,,medium
79,A person engaged by the Government on a non-pensionable appointment basis is eligible for a .......... of his basic salary as a severance allowance after the satisfactory completion of a tour of service.,15%,25%,75%,12%,A,,,medium
80,Interdiction means,Transition from old pension scheme to the new pension.,Forgiving arising from the gap in service.,Temporary removal of an officer from performing his normal duties when disciplinary proceedings for his dismissal are being undertaken or is about to be undertaken and shall be placed on a half-salary pending the detaermination of the case.,Permanent removal of an officer from the public servicd and he /she shall be placed on a half-salary pending the detaermination of the case.,C,,,medium
81,"...............is a reference document in the public service that specifies the duties of each post, method of entry, including qualification requirements and the prerequisites for advancement within and beyond cadres.",Curriculum Vitae (CV),Confirmation of appointment,Schedule of duties,Scheme of service,D,,,medium
82,Suspension is a___________________,a. Transition from old pension scheme to the new pension.,Permanent removal of an officer from the public servicd and he /she shall be placed on a half-salary pending the detaermination of the case.,"Removal of an Officer from performing the duties of his office, where a prima facie case of a serious nature has been established against the Officer, during which period he shall earn no salary.",Forgiving arising from the gap in the length of service of an officer.,C,,,medium
83,_____________is a post provided for under the Personnel emoluments sub-head of the Estimates.,Established post,Duty post of Senior Mid-Wifery of a Government recognised Hospital.,Security post of an office in the Nigerian Army.,UN Permanent post for an expatriate.,A,,,medium
84,Public Service of the Federation is.........................,Parastatals of the Government of the Federation.,All staff of the Nigerian National Petroleum Corporation (NNPC) Plc.,,"All the Personal Assistants to the Accounting Officers of the Ministries, Departments and Agencies (MDAs).",B,,,medium
85,The implementation of virtual meetings/engagements in the Public Service is...........,to promote business activities among government workers as a way of earning secondary income.,to ensure that employees are able to respond to work demands remotely.,to combat cyber crimes among public servants in the country.,to generate online revenue to make more funds for various expenditures of government.,C,,,medium
86,"The Federal Civil Service Commission has delegated full disciplinary powers against erring Officers on Salary Grade Level (GL) .................., to Permanent Secretaries and Heads of Extra-Ministerial Offices",GL 15 and above,GL GL 06 and below,GL 13 and below,GL 10 and below.,C,,,medium
87,"The Federal Civil Service Commission has delegated full power of dismissal against erring Officers on Salary Grade Level (GL) .................., to Permanent Secretaries and Heads of Extra-Ministerial Offices.",GL 15 and above,GL GL 06 and below,GL 13 and below,GL 07 and above.,B,,,medium
88,".....................consists of a series of omissions or incompetence, the cummulative effect of which shows that the Officer is not capable of discharging efficiently the duties of the office he holds.",Dismissal,Interdiction,Suspension,General Inefficiency.,D,,,medium
89,"Before the proceedings for the removal of an Officer for general inefficiency may have been instituted, he must have been warned on ..........occasions in writing.",Two (2),Five (5),Three (3),Ten (10) .,C,,,medium
90,............is a specific act of wrong-doing or an improper behaviour which is inimical to the image of the service and which ca be investigated and proved.,General Inefficiency,Dismissal,Interdiction,Misconduct.,D,,,medium
91,............ can lead to termination and retirement.,Office Rumour mongering,Dismissal,Interdiction,Misconduct.,D,,,medium
92,"All disciplinary procedures should not exceed ....... in the case of Junior Staff, except where it is a criminal case.",Fifteen (15) working days,Twenty-one (21) working days,Sixty (60) days,Twenty-eight (28) days.,C,,,medium
93,"All disciplinary procedures should not exceed ....... in the case of Senior Staff, except where it is a criminal case.",Fifty (50) working days,One hundred and eighty (180) days,Sixty (60) days,Seventy-Two (72) hours.,B,,,medium
94,"...........is a specific act of very serious wrong-doing and an improper behaviour which is inimical to the image of the service and which ca be investigated and if proven, may lead to dismissal.",General Inefficiency,Dismissal,Interdiction,Serious Misconduct.,D,,,medium
95,An interdicted Officer may be placed on ..............pay pending the determination of his case,full-salary,nil-salary,half-salary,double-salary,C,,,medium
96,The ultimate penalty for serious misconduct is...........,Suspension,general inefficiency,condonation,dismissal.,D,,,medium
97,An Officer in a serious financial embarrassment will be disqualified from ............,receiving salaries.,promotion or acting in a higher appointment.,going on statutory annual or causal leave.,attending any training programme.,C,,,medium
98,Any Officer seeking elective position must resign.............before the election.,One (1) month,Three (3) months,Six (6) months,Nine (9) months.,C,,,medium
99,"Generally, serving officers are prohibited from accepting chieftaincy titles until after................",an alimony is paid to the Government,the attainment of the rank of full directorship in the Public Service.,retirement from Service.,abolition of his Office.,C,,,medium
