position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,"Under the GIFMIS and Nigerian Financial Regulations context, what does CCS Module stand for?",Corporate Communications System (CCS),Compability Creation System (CCS),Contract Commitment Software (CCS),Commitment Control System (CCS),D,,,medium
2,What is the full meaning of GOEs?,Geopolitical Offices of Enterprises (GOEs),Government-Owned Enterprises (GOEs),Government-Operated Establishments (GOEs),Graphically-Operated Enterprises (GOEs),B,,,medium
3,"Under e-collection framework, RRR means?",Remita Revenue Reference (RRR),Remita Retribution Reference (RRR),Remita Ramification Reference (RRR),Remita Retrieval Reference (RRR),D,,,medium
4,"The statutory national minimum wage in Nigeria, adjusted under the Minimum Wage Act to alleviate fiscal pressures on public sector employees, stands at what baseline monthly flat rate?","₦30,000","₦50,000","₦70,000","₦100,000",C,,,medium
5,"Under the fiscal consolidation reforms aimed at easing public deficits and expanding federal revenues to ₦28 trillion, which major socioeconomic policy was permanently retired by the Federal Government?",The National Health Insurance Levy,Premium Motor Spirit (PMS) Fuel Subsidy,Treasury Single Account (TSA) Waivers,Agricultural Import Tariffs.,B,,,medium
6,"Which agency or regulatory framework is statutorily responsible for monitoring compliance, issuing circulars, and managing consequential wage adjustments within the civil service following national minimum wage shifts?",National Bureau of Statistics (NBS),Federal Civil Service Commission (FCSC),"National Salaries, Incomes and Wages Commission (NSIWC)",Office of the Accountant-General of the Federation (OAGF).,C,,,medium
7,What is the full meaning of GRRN?,Geographical Revenue Receipts (GRR) Number.,Generalized Revenue Retrieval (GRR) Number.,Grand Revenue Retrieval (GRR) Number.,GIFMIS Revenue Reference (GRR) Number.,D,,,medium
8,what is the full meaning of AWOL?,Annual Weather Officiating Leverage (AWOL),Acquired Wealth on Loans (AWOL),Absence Without Official Leave (AWOL),None of the above.,C,,,medium
9,What is the current Monetary Policy Rate (MPR)?,26.5%,14%,25.5%,38.5%,A,,,medium
10,"...............is a sovereign digital platform deployed on the 1Gov Cloud to digitize government records, automate workflows, and eliminate paper-based administrative bottlenecks across Nigerian Ministries, Departments, and Agencies (MDAs)",Treasury paperless portal.,CBN Green Environment Platform.,Federal Accounts Archival system.,Federal Civil Service Enterprise Content Management (ECM) system,D,,,medium
11,What does KRA stand for?,Key Revenue Analysis (KRA),keynesian Random Approximation (KRA),Key Result Areas (KRA),keynesian Revenue Annuity (KRA),C,,,medium
12,What is the full meaning of COBRA?,Contribution and Bond Redemption Application (COBRA),Contributory and Balanced Revenue Aperture (COBRA),Counter Bomb Renewable Aperture (COBRA),None of the above.,A,,,medium
13,The full meaning of RBBRF is ....................,Retirement Best Bonds Reallotted Fund (RBBRF),Retirement Benefits Bonds Redemption Fund (RBBRF),Retirees' Backed Bonds Repudiated Fund (RBBRF),Retirees' Beneficial Bonds Regenerated Finance (RBBRF),B,,,medium
14,TUC of Nigeria stands for?,Trade Union Congress (TUC) of Nigeria.,Tertiary Universities Congress (TUC) of Nigeria.,Technologies' Union Congress (TUC) of Nigeria,Tricyclists' Universal Conglomerate (TUC) of Nigeria.,A,,,medium
15,What is the full meaning of NLC?,Nigerian Labour Congress (NLC).,National Labour Congress (NLC),Nigerian Labour Constituency (NLC).,Nigeria Labour Congress (NLC),D,,,medium
16,Who is the current Chairman of PenCom?,Ms. Omolola Oloworaran,Mr. Muhammed K. Ahma,Dr. Opeyemi Olukayode Agbaje,Mrs. Aisha Dahir-Umar,C,,,medium
17,What does PFC signify?,Public Finance Corporation (PFC).,Pension Fund Commission (PFC),Private Finance Committee (PFC),Pension Fund Custodian (PFC).,D,,,medium
18,What is the full meaning of RTS?,Retirees' Transfer System (RTS),Retirement Savings Account Transfer System (RTS),Retirement Transparency Solution (RTS),Retirees' Treasury System (RTS).,B,,,medium
19,What does PPP represent in the Nigerian Pension Sector?,People's Pension Package (PPP),Permanent Pension Payment (PPP),Personal Pension Plan (PPP),Proratal Pension Policy (PPP).,C,,,medium
20,What does DRE stand for in the Nigerian Pension Industry?,Direct Re-certification Exercise (DRE),Duty Refunded Expenditure (DRE),Daily Remittance Exercise (DRE),Data Recapture Exercise (DRE),D,,,medium
